store_id,store_name,wkt
place_38,Burger King,"POLYGON ((13.3106650000000002 52.5475199999999987, 13.3103479999999994 52.5475339999999989, 13.3103309999999997 52.5473929999999996, 13.3102970000000003 52.5471050000000020, 13.3106089999999995 52.5470910000000018, 13.3106899999999992 52.5470869999999977, 13.3107179999999996 52.5473179999999971, 13.3107330000000008 52.5474450000000033, 13.3106650000000002 52.5475199999999987))"
place_39,Burger King,"POLYGON ((13.6068289999999994 52.5055449999999979, 13.6069840000000006 52.5055090000000035, 13.6069870000000002 52.5055139999999980, 13.6072609999999994 52.5054500000000033, 13.6072319999999998 52.5054039999999986, 13.6071910000000003 52.5054129999999972, 13.6071530000000003 52.5053529999999995, 13.6070019999999996 52.5053880000000035, 13.6069829999999996 52.5053580000000011, 13.6068990000000003 52.5053770000000029, 13.6069069999999996 52.5053899999999985, 13.6068730000000002 52.5053979999999996, 13.6068859999999994 52.5054179999999988, 13.6067669999999996 52.5054459999999992, 13.6068289999999994 52.5055449999999979))"
place_40,Burger King,"POLYGON ((13.5939169999999994 52.5486160000000027, 13.5939650000000007 52.5487219999999979, 13.5939990000000002 52.5487159999999989, 13.5940230000000000 52.5487699999999975, 13.5939820000000005 52.5487770000000012, 13.5940279999999998 52.5488789999999995, 13.5938040000000004 52.5489170000000030, 13.5936850000000007 52.5486549999999966, 13.5939169999999994 52.5486160000000027))"
place_41,Burger King,"POLYGON ((13.3246680000000008 52.6077960000000004, 13.3248289999999994 52.6075960000000009, 13.3246620000000000 52.6075469999999967, 13.3245009999999997 52.6077470000000034, 13.3246680000000008 52.6077960000000004))"
place_42,Burger King,"POLYGON ((13.3121019999999994 52.4224290000000011, 13.3120340000000006 52.4224559999999968, 13.3120110000000000 52.4224350000000001, 13.3118999999999996 52.4224800000000002, 13.3118459999999992 52.4224320000000006, 13.3118239999999997 52.4224409999999992, 13.3117719999999995 52.4223939999999970, 13.3117839999999994 52.4223879999999980, 13.3117090000000005 52.4223199999999991, 13.3118909999999993 52.4222460000000012, 13.3119650000000007 52.4223130000000026, 13.3119940000000003 52.4223039999999969, 13.3120189999999994 52.4223250000000007, 13.3119990000000001 52.4223349999999968, 13.3121019999999994 52.4224290000000011))"
place_43,Burger King,"POLYGON ((13.2321220000000004 52.5273090000000025, 13.2323079999999997 52.5272790000000001, 13.2322780000000009 52.5272119999999987, 13.2322959999999998 52.5272089999999992, 13.2322839999999999 52.5271830000000008, 13.2323079999999997 52.5271789999999967, 13.2322830000000007 52.5271230000000031, 13.2322590000000009 52.5271270000000001, 13.2322299999999995 52.5270620000000008, 13.2321729999999995 52.5270719999999969, 13.2321489999999997 52.5270760000000010, 13.2321290000000005 52.5270319999999984, 13.2319999999999993 52.5270530000000022, 13.2320630000000001 52.5271960000000036, 13.2320460000000004 52.5271990000000031, 13.2320550000000008 52.5272199999999998, 13.2320720000000005 52.5272179999999977, 13.2320810000000009 52.5272160000000028, 13.2321220000000004 52.5273090000000025))"
place_44,Burger King,"POLYGON ((13.2102889999999995 52.6385799999999975, 13.2102540000000008 52.6385450000000006, 13.2102400000000006 52.6385509999999996, 13.2101749999999996 52.6384860000000003, 13.2101900000000008 52.6384809999999987, 13.2101299999999995 52.6384189999999990, 13.2102780000000006 52.6383650000000003, 13.2104379999999999 52.6385250000000013, 13.2102889999999995 52.6385799999999975))"
place_45,Burger King,"POLYGON ((13.2487010000000005 52.5401460000000000, 13.2486940000000004 52.5400950000000009, 13.2487180000000002 52.5400940000000034, 13.2486899999999999 52.5398899999999998, 13.2485099999999996 52.5398989999999984, 13.2485370000000007 52.5401030000000020, 13.2485549999999996 52.5401019999999974, 13.2485619999999997 52.5401529999999966, 13.2487010000000005 52.5401460000000000))"
place_46,Burger King,"POLYGON ((13.2977319999999999 52.5786069999999981, 13.2976749999999999 52.5785729999999987, 13.2976460000000003 52.5785920000000004, 13.2975879999999993 52.5785570000000035, 13.2976849999999995 52.5784969999999987, 13.2976609999999997 52.5784820000000011, 13.2977279999999993 52.5784400000000005, 13.2977229999999995 52.5784370000000010, 13.2977509999999999 52.5784200000000013, 13.2977500000000006 52.5784189999999967, 13.2977530000000002 52.5784170000000017, 13.2977620000000005 52.5784220000000033, 13.2978710000000007 52.5783529999999999, 13.2980079999999994 52.5784349999999989, 13.2979020000000006 52.5785010000000028, 13.2978970000000007 52.5785040000000023, 13.2978980000000000 52.5785040000000023, 13.2977319999999999 52.5786069999999981))"
place_47,Burger King,"POLYGON ((13.7451699999999999 52.4995619999999974, 13.7447900000000001 52.4994330000000033, 13.7448870000000003 52.4993300000000005, 13.7452670000000001 52.4994590000000017, 13.7451699999999999 52.4995619999999974))"
place_48,Burger King,"POLYGON ((13.3872610000000005 52.5204919999999973, 13.3873650000000008 52.5204700000000031, 13.3872990000000005 52.5203500000000005, 13.3871939999999991 52.5203720000000018, 13.3872610000000005 52.5204919999999973))"
place_49,Burger King,"POLYGON ((13.3644979999999993 52.4767829999999975, 13.3643330000000002 52.4767450000000011, 13.3644180000000006 52.4766100000000009, 13.3645250000000004 52.4766350000000017, 13.3645580000000006 52.4766419999999982, 13.3645820000000004 52.4766479999999973, 13.3644979999999993 52.4767829999999975))"
place_50,Burger King,"POLYGON ((13.3700460000000003 52.4088569999999976, 13.3700349999999997 52.4087779999999981, 13.3703099999999999 52.4087630000000004, 13.3703109999999992 52.4087689999999995, 13.3704689999999999 52.4087609999999984, 13.3704859999999996 52.4088769999999968, 13.3703749999999992 52.4088830000000030, 13.3703760000000003 52.4088939999999965, 13.3703299999999992 52.4088959999999986, 13.3703319999999994 52.4089099999999988, 13.3702400000000008 52.4089150000000004, 13.3702380000000005 52.4088980000000006, 13.3701279999999993 52.4089039999999997, 13.3701209999999993 52.4088530000000006, 13.3700460000000003 52.4088569999999976))"
place_51,Subway,"POLYGON ((13.0665460000000007 52.3915239999999969, 13.0665429999999994 52.3914990000000032, 13.0665410000000008 52.3914830000000009, 13.0667000000000009 52.3914770000000019, 13.0667039999999997 52.3915179999999978, 13.0665460000000007 52.3915239999999969))"
place_52,Subway,"POLYGON ((13.4329260000000001 52.5103160000000031, 13.4330479999999994 52.5104200000000034, 13.4331920000000000 52.5103590000000011, 13.4330710000000000 52.5102550000000008, 13.4329260000000001 52.5103160000000031))"
place_53,Subway,"POLYGON ((13.1981990000000007 52.5342740000000035, 13.1981560000000009 52.5341840000000033, 13.1980149999999998 52.5342089999999970, 13.1980579999999996 52.5342979999999997, 13.1981990000000007 52.5342740000000035))"
